name,smiles,plastchem_id,cas,inchikey,molecular_weight_g_mol,flag
"2,8,9-Trioxa-5-aza-1-borabicyclo[3.3.3]undecane",B12OCCN(CCO1)CCO2,6659,283-56-7,NKPKVNRBHXOADG-UHFFFAOYSA-N,156.98,boron
"2-Phenyl-1,3,2-dioxaborolane",B1(OCCO1)C2=CC=CC=C2,8588,4406-72-8,HVEMPDZEMICSMG-UHFFFAOYSA-N,147.97,boron
"Borinic acid, diethyl-, 1-methylethyl ester",B(CC)(CC)OC(C)C,13448,74953-03-0,KINHWSVLCIEQTO-UHFFFAOYSA-N,128.02,boron
"Boron, (benzenamine)trifluoro-, (T-4)-",[B-]([NH2+]C1=CC=CC=C1)(F)(F)F,11632,660-53-7,VVPMIAKJDMDELQ-UHFFFAOYSA-N,160.93,boron
"Boron, trifluoro(2-propanamine)-, (T-4)-",[B-]([NH2+]C(C)C)(F)(F)F,8020,3776-04-3,DNJHXGJLGUPXEO-UHFFFAOYSA-N,126.92,boron
Diethylmethoxyborane,B(CC)(CC)OC,13221,7397-46-8,FESAXEDIWWXCNG-UHFFFAOYSA-N,99.97,boron
Tribenzyl borate,B(OCC1=CC=CC=C1)(OCC2=CC=CC=C2)OCC3=CC=CC=C3,5502,2467-18-7,IJJNTMLAAKKCML-UHFFFAOYSA-N,332.2,boron
Tributyl borate,B(OCCCC)(OCCCC)OCCCC,12447,688-74-4,LGQXXHMEBUOXRP-UHFFFAOYSA-N,230.15,boron
"Trichloro(N,N-dimethyloctylamine)boron",[B-]([N+](C)(C)CCCCCCCC)(Cl)(Cl)Cl,7658,34762-90-8,FXWXWPYCGVUYAA-UHFFFAOYSA-N,274.5,boron
Triisobutyl borate,B(OCC(C)C)(OCC(C)C)OCC(C)C,2384,13195-76-1,LHJSLDBKUGXPMI-UHFFFAOYSA-N,230.15,boron
Triisobutylborane,B(CC(C)C)(CC(C)C)CC(C)C,1180,1116-39-8,XDSSGQHOYWGIKC-UHFFFAOYSA-N,182.16,boron
Triisopropyl borate,B(OC(C)C)(OC(C)C)OC(C)C,9631,5419-55-6,NHDIQVFFNDKAQU-UHFFFAOYSA-N,188.07,boron
Trimethoxyboroxine,B1(OB(OB(O1)OC)OC)OC,282,102-24-9,ZFMOJHVRFMOIGF-UHFFFAOYSA-N,173.5,boron
(2-(7-Oxabicyclo[4.1.0]heptan-3-yl)ethyl)triethoxysilane,CCO[Si](CCC1CCC2C(C1)O2)(OCC)OCC,319,10217-34-2,UDUKMRHNZZLJRB-UHFFFAOYSA-N,288.45,silicon
(3-Aminopropyl)silanetriol,C(CN)C[Si](O)(O)O,10198,58160-99-9,JTXUAHIMULPXKY-UHFFFAOYSA-N,137.21,silicon
(3-Chloropropyl)diethoxymethylsilane,CCO[Si](C)(CCCCl)OCC,2671,13501-76-3,KEZMLECYELSZDC-UHFFFAOYSA-N,210.77,silicon
(3-Chloropropyl)triethoxysilane,CCO[Si](CCCCl)(OCC)OCC,9129,5089-70-3,KSCAZPYHLGGNPZ-UHFFFAOYSA-N,240.8,silicon
(3-Chloropropyl)trimethoxysilane,CO[Si](CCCCl)(OC)OC,5840,2530-87-2,OXYZDRAJMHGSMW-UHFFFAOYSA-N,198.72,silicon
(3-Glycidoxypropyl)trimethoxysilane,CO[Si](CCCOCC1CO1)(OC)OC,5838,2530-83-8,BPSIOYPQMFLKFR-UHFFFAOYSA-N,236.34,silicon
(3-Glycidyloxypropyl)triethoxysilane,CCO[Si](CCCOCC1CO1)(OCC)OCC,6079,2602-34-8,JXUKBNICSRJFAP-UHFFFAOYSA-N,278.42,silicon
(3-Mercaptopropyl)trimethoxysilane,CO[Si](CCCS)(OC)OC,8593,4420-74-0,UUEWCQRISZBELL-UHFFFAOYSA-N,196.34,silicon
(Dimethoxy(methyl)silyl)methyl methacrylate,CC(=C)C(=O)OC[Si](C)(OC)OC,1737,121177-93-3,YBUIRAZOPRQNDE-UHFFFAOYSA-N,204.3,silicon
(Trimethoxysilyl)methyl prop-2-enoate,CO[Si](COC(=O)C=C)(OC)OC,4893,21134-38-3,JPPHEZSCZWYTOP-UHFFFAOYSA-N,206.27,silicon
"1,1,1,5,5,5-Hexamethyl-3-((trimethylsilyl)oxy)-3-vinyltrisiloxane",C[Si](C)(C)O[Si](C=C)(O[Si](C)(C)C)O[Si](C)(C)C,9541,5356-84-3,CHEFFAKKAFRMHG-UHFFFAOYSA-N,322.69,silicon
"1,1,3,3-Tetramethoxy-1,3-dimethyldisiloxane",CO[Si](C)(OC)O[Si](C)(OC)OC,4264,18186-97-5,JWVHPGDCFVOYMQ-UHFFFAOYSA-N,226.37,silicon
"1,1,3,3-Tetramethyl-1,3-divinyldisilazane",C[Si](C)(C=C)N[Si](C)(C)C=C,13704,7691-02-3,WYUIWUCVZCRTRH-UHFFFAOYSA-N,185.41,silicon
"1,1,3,3-Tetramethyl-1,3-divinyldisiloxane",C[Si](C)(C=C)O[Si](C)(C)C=C,6168,2627-95-4,BITPLIXHRASDQB-UHFFFAOYSA-N,186.4,silicon
"1,2-Bis(chlorodimethylsilyl)ethane",C[Si](C)(CC[Si](C)(C)Cl)Cl,2681,13528-93-3,VGQOKOYKFDUPPJ-UHFFFAOYSA-N,215.26,silicon
"1,2-Bis(triethoxysilyl)ethane",CCO[Si](CC[Si](OCC)(OCC)OCC)(OCC)OCC,3681,16068-37-4,IZRJPHXTEXTLHY-UHFFFAOYSA-N,354.59,silicon
