submission_order,polymer,species,conformer_id,n_atoms,formula,inchikey_connectivity,xyz_path,xyz_sha256,source_file,source_sha256
1,pe,pe,config_1010,38,C12H26,SNRUBQQJIBEYMU,inputs/polymers/pe/config_1010.xyz,cd9119a098c65b37299bd9b0f1ea26857be97517a51267dfe18fb217638e7bc3,pe_mcos/config_1010.mcos,6942f7d40843ddb3f32da9abb389f2fe81a0ebac3bba4bd3636e6538f727b830
2,pe,pe,config_1130,38,C12H26,SNRUBQQJIBEYMU,inputs/polymers/pe/config_1130.xyz,5fa09590666620ee4ff276baab03a29247c6ede8d0c1031eca09e5850e95925f,pe_mcos/config_1130.mcos,f19bebede2be973ddb9564ea67346ac5b5b3d35911282b8cc98adbc18e884d28
3,pe,pe,config_1600,38,C12H26,SNRUBQQJIBEYMU,inputs/polymers/pe/config_1600.xyz,477e33b5827c3218e6adc559731e4cbee58607d0e2146818af96709282a14f08,pe_mcos/config_1600.mcos,3afed6454941f61f7adcd97cb5d9a8055a7a78ae6be1eeebddb9a61a36f31852
4,pe,pe,config_1720,38,C12H26,SNRUBQQJIBEYMU,inputs/polymers/pe/config_1720.xyz,3fb8a042ec336b1ad1bc4b36e70b36fc33335e7df8889824763cd9a3f06964c1,pe_mcos/config_1720.mcos,04317afaa41f672b166af740ad6cdb492940b4ca786ddb17df89ba310c37fe02
5,pe,pe,config_1940,38,C12H26,SNRUBQQJIBEYMU,inputs/polymers/pe/config_1940.xyz,781337b4ebd749308c171c6992280340d722d0f7962cf8270c4aa74a502ab7d8,pe_mcos/config_1940.mcos,6b32d16437e6cdb7b9f5549069e7da0cf515d53ec9029601a16cbc590e42a7f1
6,pe,pe,config_1950,38,C12H26,SNRUBQQJIBEYMU,inputs/polymers/pe/config_1950.xyz,72a91cda8c14c75fb8e909c6839eae5cbb948fa8ccb041a46c993a7c41c3a698,pe_mcos/config_1950.mcos,f12f543b3f19cbabf9f5eb86b2e9803c0760f1ff52b78649a616eee01b0f71f3
7,pe,pe,config_1960,38,C12H26,SNRUBQQJIBEYMU,inputs/polymers/pe/config_1960.xyz,70e264ca728f890bc4435bb77be9fdbd746035ed56e8b87b39c0646e774a63ee,pe_mcos/config_1960.mcos,2ddd1af5fb5aa97e5bd7ad47bb4548e5bfb7773a5671e0fbbc00b435f69f34b6
8,pe,pe,config_1990,38,C12H26,SNRUBQQJIBEYMU,inputs/polymers/pe/config_1990.xyz,e50d25a944b2891908b093693c31458f27c3eef48fb078bd84db77095f01d59b,pe_mcos/config_1990.mcos,fa83fcbb0fe74bedaa8f3a9a3946fffe885d8ecb6a4d34befd56ed03cbe8f2e5
9,pe,pe,config_2070,38,C12H26,SNRUBQQJIBEYMU,inputs/polymers/pe/config_2070.xyz,48fad549d192acfd0eda4ff88421a3db188e77ad3cbc852eede05d493e1bf0f3,pe_mcos/config_2070.mcos,6b5485b507b2f8e5edb67d9508a540b721668e07b334ffb1f24c2ea0a67571ee
10,pe,pe,config_2180,38,C12H26,SNRUBQQJIBEYMU,inputs/polymers/pe/config_2180.xyz,444cc871f5d9a9bb0a959c26138d5d9d93e0ebd0ac2b8a45363a4eb20681ad14,pe_mcos/config_2180.mcos,9c752059ce694f61b2f8580be1614e4dd229dea411fb8b8def69272faf42f2f2
11,pe,pe,config_270,38,C12H26,SNRUBQQJIBEYMU,inputs/polymers/pe/config_270.xyz,9292f1b2119b19d217f9ba4ff1162d57988abc553c28c1173aa108bdd439093c,pe_mcos/config_270.mcos,7412d9ff07a390b5d9fe7d56caa866eed138e4c0b5b1862457fe535ddd66c1e8
12,pe,pe,config_2890,38,C12H26,SNRUBQQJIBEYMU,inputs/polymers/pe/config_2890.xyz,830e10c0e7171b74e67f2d54d90ae2c15f1ca56f8d38f720d65f0f94ba3b9353,pe_mcos/config_2890.mcos,8e15a70f315af8359f6ee1c34d200758b151be265ae8ae8fc2d658541a3fcfba
13,pe,pe,config_3190,38,C12H26,SNRUBQQJIBEYMU,inputs/polymers/pe/config_3190.xyz,1c2da9c0a66fa3c23f9e6d02ed6dbf7b8c76c6605f9fe428c6e541af1792f771,pe_mcos/config_3190.mcos,95a32a2c55cab806240e85ce10b0d9a9ded7ff085cbe55f5f06780760203d96f
14,pe,pe,config_3410,38,C12H26,SNRUBQQJIBEYMU,inputs/polymers/pe/config_3410.xyz,fc4e8fe1ce9ce462015f488fd69808ff3ab56636b6d39bb18f587e47aada4f6b,pe_mcos/config_3410.mcos,03e463ebe8d6996e4637269dc738c1b29e3fbe58eae2c56b3021c333f8d1d071
15,pe,pe,config_4140,38,C12H26,SNRUBQQJIBEYMU,inputs/polymers/pe/config_4140.xyz,3d199daa55447dadb50617e0c739075068f261e5c8cd4845e90aa69d9512ba90,pe_mcos/config_4140.mcos,014cb0b01ce4c2d056e890e646b9d747c1cd64c2d9b3fb2afe5017aecb55aac8
16,pe,pe,config_4170,38,C12H26,SNRUBQQJIBEYMU,inputs/polymers/pe/config_4170.xyz,534a09b7e19c4406b53ca4ff35de3139d99ffd6cb86a406cf348a14b01f8153b,pe_mcos/config_4170.mcos,4ac519d619d21c55618b16d0995303331cbd109421931d362820acc37726a48f
17,pe,pe,config_4300,38,C12H26,SNRUBQQJIBEYMU,inputs/polymers/pe/config_4300.xyz,1ae53518719487e787275f3fa8ef1a90416a9e0ca5a2ebfea6cd2ce325882586,pe_mcos/config_4300.mcos,780c2342c6a97bc296b1b377eca5eeff131cefa56505713b41144c8d43ab9552
18,pe,pe,config_5010,38,C12H26,SNRUBQQJIBEYMU,inputs/polymers/pe/config_5010.xyz,90673288a850f164470ea7c8e3edf18aba0b276b649859a9b9406fd81e0428e3,pe_mcos/config_5010.mcos,99dbe54037856aa41b0d89a66e72cd1dbf338299276fc6a7f3a53b8e5fd572df
19,pe,pe,config_6040,38,C12H26,SNRUBQQJIBEYMU,inputs/polymers/pe/config_6040.xyz,0957d13ea0496f4fb5b4846d95fdf09e21e7a9e3dbd3413524cb6027b1fccbe4,pe_mcos/config_6040.mcos,fcf1374f12ec90fb422c5b21cc245f93b902a173556c42347b3ea055f438ab9f
20,pe,pe,config_6210,38,C12H26,SNRUBQQJIBEYMU,inputs/polymers/pe/config_6210.xyz,2473467fb25fa553ee55ef046fcb0ea3d5499926f9cedae4fc52854ec9bbde58,pe_mcos/config_6210.mcos,415c68964e1521ae79e00174db88009790d47772204f625a0bb14600c21f179e
21,pe,pe,config_7260,38,C12H26,SNRUBQQJIBEYMU,inputs/polymers/pe/config_7260.xyz,a83442b7203b5a29f077b2c1843ead46886a8c6a6c60a3520c6e3d252a6bda7b,pe_mcos/config_7260.mcos,bcbb2731d383bb92bd158421b2f50870968c62931d639561240adc5445f3bee6
