solute,solvent,A_status,A_solvent_volume_cm3_mol,A_solvent_volume_source,A_PE_volume_cm3_mol,A_PE_volume_source,A_logP_x,A_logP_concentration,A_legacy_unnormalized_x1e5_logP_concentration,B_status,B_solvent_volume_cm3_mol,B_solvent_volume_source,B_PE_volume_cm3_mol,B_PE_volume_source,B_logP_x,B_logP_concentration,B_legacy_unnormalized_x1e5_logP_concentration,B_OPT_weight_sensitivity_logP_concentration,delta_B_minus_A,delta_B_minus_A_x,sign_changed
DEP,"1,2-propanediol",predicted,73.69347697242269,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.030287932547815352,0.3638723918296367,-0.126489777768169,predicted,73.69347697242269,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.10145606765958946,0.4299598322008748,-0.04239667419019377,0.42987980590662667,0.0660874403712381,0.07116813511177411,False
DEP,1-propanol,predicted,75.0812393102061,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.3777691039817681,0.703251178371675,0.2128827813407249,predicted,75.0812393102061,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.3438051185495661,0.664206498198937,0.19184584901076196,0.6641264719046889,-0.03904468017273799,-0.033963985432202026,False
DEP,"2,3-dihydropyran",predicted,91.23427331887201,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,1.0696676554830953,1.310523145213712,0.8201351272131595,predicted,91.23427331887201,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.9514567340589357,1.1872315290490165,0.7148520983250941,1.1871515027547683,-0.12329161616469553,-0.11821092142415957,False
DEP,2-butanone,predicted,90.33700826860434,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,1.1400329855333513,1.385180788770371,0.8947901297461598,predicted,90.33700826860434,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.9430328847647914,1.1830999932612754,0.710720844868802,1.1830199669670272,-0.20208079550909575,-0.1970001007685599,False
DEP,acetic acid,predicted,57.52382776952919,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.5535582501871913,0.9947239798586586,0.5043587171560061,predicted,57.52382776952919,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.3137437616005126,0.7498287965314439,0.27747970703675157,0.7497487702371957,-0.24489518332721472,-0.2398144885866787,False
DEP,acetone,predicted,74.05329593267884,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,1.2005483771319585,1.5320174914245737,1.0416239021342566,predicted,74.05329593267884,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.9511688150524893,1.2775572346045685,0.8051770706828272,1.2774772083103203,-0.25446025682000517,-0.2493795620794692,False
DEP,acetylacetone,predicted,103.01162671056692,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.9368106764399748,1.124937938017398,0.6345531856631292,predicted,103.01162671056692,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.7087519085477716,0.8917984753846587,0.41942529573760867,0.8917184490904106,-0.23313946263273932,-0.22805876789220325,False
DEP,benzene,predicted,89.41518526573641,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,1.0863609573131927,1.335963183555773,0.8455747686920542,predicted,89.41518526573641,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,1.0112373026244772,1.2557588341265216,0.7833769945334302,1.2556788078322734,-0.08020434942925148,-0.07512365468871551,False
DEP,chloroform,predicted,80.70716289761012,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,3.986002182062416,4.280103608232408,3.7896154399494426,predicted,80.70716289761012,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,2.1022098575933588,2.3912305890228147,1.9187997132377825,2.391150562728566,-1.8888730192095933,-1.883792324469057,False
DEP,cyclohexane,predicted,108.75048455872852,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.21468486735781306,0.3792671736186829,-0.11108160552945592,predicted,108.75048455872852,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.12689288883434194,0.28639450035467573,-0.1859476823919722,0.28631447406042765,-0.09287267326400717,-0.08779197852347112,False
DEP,cyclohexanol,predicted,106.0,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.3918682401549514,0.5675758818647432,0.07720532108439307,predicted,106.0,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.40806629803594113,0.5786932450051968,0.10632794371762654,0.5786132187109487,0.01111736314045364,0.016198057880989714,False
DEP,dichloromethane,predicted,64.0,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,2.8301661705359495,3.2249997035266245,2.734545485819022,predicted,64.0,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,1.6889517169474568,2.0787045551975956,1.6062927252431989,2.0786245289033474,-1.146295148329029,-1.1412144535884927,False
DEP,dimethyl sulfoxide,predicted,71.33362547472977,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.8735036301320619,1.2212228398536853,0.7308315589674997,predicted,71.33362547472977,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.7228900966665568,1.0655286116476441,0.5931489772685157,1.065448585353396,-0.15569422820604117,-0.1506135334655051,False
DEP,diphenyl ether,predicted,130.4012629315705,route-specific COSMO cavity,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.9752295887039623,1.0609612981357206,0.5705760791510783,predicted,126.06119532135739,route-specific COSMO cavity,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.8196323970343606,0.9149837884476272,0.44260830244285876,0.9149037621533791,-0.14597750968809342,-0.15559719166960162,False
DEP,dodecane,predicted,228.4909456740442,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.09156851348069578,-0.06628697466522965,-0.55665307706969,predicted,228.4909456740442,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.011176399421944967,-0.15175978346451643,-0.6241177282913286,-0.15183980975876454,-0.08547280879928679,-0.08039211405875081,False
DEP,ethanol,predicted,58.65008930742506,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.3349116135831678,0.7676564427985539,0.2772917260640978,predicted,58.65008930742506,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.26846905555648426,0.6961331900313343,0.22377875509632875,0.6960531637370863,-0.0715232527672196,-0.06644255802668353,False
DEP,ethyl acetate,predicted,98.51620766383772,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,1.0664995681890421,1.2740053896413666,0.7836175217364262,predicted,98.51620766383772,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.9051912098505943,1.1076163365623828,0.6352386337631,1.1075363102681346,-0.16638905307898377,-0.1613083583384478,False
DEP,ethylene glycol,predicted,55.92568231170541,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,-0.3664620127247348,0.08694020291341809,-0.40340451238951935,predicted,55.92568231170541,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,-0.2905842668667201,0.15773725403089667,-0.31460016899799237,0.15765722773664864,0.07079705111747858,0.07587774585801466,False
DEP,heptane,predicted,147.45353679532644,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.133361209120843,0.1657195221694565,-0.32463716909500273,predicted,147.45353679532644,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.03229035532214243,0.05956797363021989,-0.4127808931069692,0.059487947335971826,-0.10615154853923661,-0.10107085379870058,False
DEP,hexane,predicted,131.6,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.16123395384128641,0.24299157153791168,-0.24736227088095086,predicted,131.6,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.061374253270100765,0.13805117622619,-0.3342950138504164,0.13797114993194196,-0.10494039531172167,-0.09985970057118565,False
