inchikey,name,cas,array_index,job_id,status,dft_converged,failure_mode,error,atoms,heavy_atoms,rotatable_bonds,stratum,selection_role,node,cpu_model,cpu_generation,geometry_cycles,opt_wall_seconds,cosmo_wall_seconds,total_orca_wall_seconds,orca_internal_opt_seconds,orca_internal_cosmo_seconds,orca_internal_total_seconds,elapsed_seconds,slurm_state,slurm_elapsed_seconds,maxrss_kib,surface_bytes,returned_bytes,surface_sha256,inchikey_after_optimization,predicted_seconds,residual_seconds,observed_predicted_ratio,log_residual,attempt_seconds
YYGNTYWPHWGJRM-AAJYLUCBSA-N,Squalene,111-02-4,0,54154_0,converged,True,,,80,30,15,71-80,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,56,17804.509835707024,1134.8591116108,18939.368947317824,17803.816,1134.23,18938.046,18940.221697393805,COMPLETED,18941,2000100.0,827408,854167,ed08329e4ecc16098aec04ee9122a66f9089d64f8d3901c4278633ed8f93a28d,YYGNTYWPHWGJRM-AAJYLUCBSA-N,13671.482579136871,5267.886368180953,1.3853193198095368,0.43303303512849745,18940.221697393805
ZDMVLXPCERUWIR-UHFFFAOYSA-N,"1-Naphthalenemethanol, alpha,alpha-bis(4-(diethylamino)phenyl)-4-(ethylamino)-",1325-86-6,1,54154_1,converged,True,,,78,37,11,71-80,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,17,10298.132152785547,1889.3078204942867,12187.439973279834,10297.9,1889.258,12187.158,12188.515332628973,COMPLETED,12189,1744376.0,790693,815984,be1ac7edfede59e99487b0de461bde8c54af763ebf51378c5000aab1131554d8,ZDMVLXPCERUWIR-UHFFFAOYSA-N,12896.24708991308,-708.8071166332466,0.945037722083687,0.050571931507739976,12188.515332628973
SKBPTWWRZPECDT-XMTFNYHQSA-N,"1,3:2,4-Bis-O-(2,2,6,6-tetramethyl-4-piperidinylidene)-D-Glucitol",99473-08-2,2,54154_2,converged,True,,,76,32,1,71-80,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,10,5582.601467307657,3095.398773428984,8678.000240736641,5582.193,3095.303,8677.496,8678.7442020569,COMPLETED,8679,1521696.0,656834,681438,f40f67d4eb23ac463459249952f7333ae4d708737318ac5aa11628d036d8a744,SKBPTWWRZPECDT-XMTFNYHQSA-N,12146.537746558963,-3468.5375058223217,0.714442289795301,-0.2291506886859107,8678.7442020569
DTPCFIHYWYONMD-UHFFFAOYSA-N,"3,6,9,12,15,18,21,24,27-Nonaoxanonacosane-1,29-diol",,3,54154_3,converged,True,,,73,31,28,71-80,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,20,4176.135094610974,955.9784182114527,5132.113512822427,4175.782,955.922,5131.704,5132.645339955576,COMPLETED,5133,1732604.0,773352,797424,21f61420469d560314e92b695ba24237e305c7e534fc1767f209e6bd71f724cc,DTPCFIHYWYONMD-UHFFFAOYSA-N,11069.392538490974,-5937.279025668548,0.46363099826632925,-0.6615639392578494,5132.645339955576
QKOWXXDOHMJOMQ-UHFFFAOYSA-N,"1,3,5-Tris(6-isocyanatohexyl)biuret",4035-89-6,4,54154_4,converged,True,,,72,34,21,71-80,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,28,9231.476015912369,1665.0698821982369,10896.545898110606,9231.264,1665.025,10896.288999999999,10897.406591084786,COMPLETED,10898,1828460.0,792636,816737,771fedc387089d612d660a5d569954f61ca42d6e235e9fb9af0708b63e1bcb6d,QKOWXXDOHMJOMQ-UHFFFAOYSA-N,10722.886087963147,173.6598101474592,1.0161952489957344,0.12316787114553485,10897.406591084786
PHXLONCQBNATSL-UHFFFAOYSA-N,"2,2'-Methylenebis[6-(1-methylcyclohexyl)-p-cresol]",77-62-3,5,54154_5,converged,True,,,71,31,4,71-80,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,24,8146.850280231796,1692.431199808605,9839.281480040401,8146.633,1692.363,9838.996,9840.005468341522,COMPLETED,9841,1448336.0,663163,686956,f53058e75a983381f13891c5c7274f216efbbab3da4a5ccd53504f287459f9c5,PHXLONCQBNATSL-UHFFFAOYSA-N,10382.606960313176,-543.3254802727752,0.9476696476761953,0.053353055870626775,9840.005468341522
QGWXNCIQTGYQLM-UHFFFAOYSA-N,"2-methyl-N-(2,2,6,6-tetramethylpiperidin-4-yl)-2-[(2,2,6,6-tetramethylpiperidin-4-yl)amino]propanamide",84214-94-8,6,54154_6,converged,True,,,71,27,4,71-80,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,15,4890.4183780429885,1683.2392394188792,6573.657617461868,4890.201,1683.196,6573.397,6574.452933588065,COMPLETED,6575,1505176.0,632633,656252,80434baf41a8305dabbd112b6fbc1618cfea16f6943d72e17ba5ff97551b7c17,QGWXNCIQTGYQLM-UHFFFAOYSA-N,10382.606960313176,-3808.9493428513088,0.6331413336351107,-0.34995923963151654,6574.452933588065
KKZSDWROKQKKPM-UHFFFAOYSA-N,"Dodecanedioic acid, bis[2-(2-hydroxybenzoyl)hydrazide]",63245-38-5,7,54154_7,converged,True,,,70,36,13,63-70,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,39,15116.09920764435,2132.9030316043645,17249.002239248715,15115.874,2132.848,17248.722,17250.100124719553,COMPLETED,17251,1835644.0,728331,752365,f2f86d01ebf9675e4ed454ef1bec6fd19d79679d5daa1172e4bb90e85b0d6834,KKZSDWROKQKKPM-UHFFFAOYSA-N,10048.528584615899,7200.473654632817,1.7165699529040104,0.6474304525502586,17250.100124719553
WNDULEJVCPEASN-UHFFFAOYSA-N,"1-Naphthalenemethanol, alpha,alpha-bis(4-(dimethylamino)phenyl)-4-(phenylamino)-",6786-83-0,8,54154_8,converged,True,,,70,37,7,63-70,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,15,6102.8505738880485,2008.8176996046677,8111.668273492716,6102.699,2008.777,8111.476,8112.592137604952,COMPLETED,8113,1665552.0,740935,764320,be7a4062b725890ad4c4dbdef4185552b84acc1b5dada0a78adb1ddaf432b143,WNDULEJVCPEASN-UHFFFAOYSA-N,10048.528584615899,-1936.8603111231823,0.8072493604597515,-0.10702029534570912,8112.592137604952
BJQHLKABXJIVAM-UHFFFAOYSA-N,Bis(2-ethylhexyl) phthalate,117-81-7,9,54154_9,failed,True,identity_unresolved_stereochemistry,Geometry identity not accepted under current policy; see identity_observations,66,28,14,63-70,DEHP,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,62,15898.253463435918,1384.5160381784663,17282.769501614384,15897.579,1384.467,17282.046,17283.233759267256,COMPLETED,17284,1615412.0,685970,709708,74a44a31aec2d986fb323839fa71c4ad79ae437e670996af4bb740e3f2bf03ab,BJQHLKABXJIVAM-BGYRXZFFSA-N,8773.681908221015,8509.08759339337,1.9698422717400186,0.7850558406818688,17283.233759267256
RONFGUROBZGJKP-UHFFFAOYSA-N,Guazatine,115044-19-4,10,54154_10,converged,True,,,66,25,18,63-70,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,20,4703.271138074808,1181.9830043558031,5885.254142430611,4703.076,1181.923,5884.999,5886.9058828651905,COMPLETED,5888,1213268.0,626182,648724,758f9739c2b58927a73d7aad6fc1033f0f894b990075c46e9ccc80521a29d92e,RONFGUROBZGJKP-UHFFFAOYSA-N,8773.681908221015,-2888.427765790404,0.6707849912949405,-0.2922042573761505,5886.9058828651905
TUXBECXCUZWDPY-UHFFFAOYSA-N,"Oxirane, 2,2',2''-[ethylidynetris(4,1-phenyleneoxymethylene)]tris-",87093-13-8,11,54154_11,failed,True,identity_unresolved_stereochemistry,Geometry identity not accepted under current policy; see identity_observations,65,35,12,63-70,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,15,4608.511242222041,1342.7885905690491,5951.29983279109,4608.268,1342.711,5950.979,5951.968459596857,COMPLETED,5953,1613104.0,719880,742142,67ea2ad0416bf3b793373f6253b6689d43359c309e33e1aa12958f37e9608bd0,TUXBECXCUZWDPY-FCEKVYKBSA-N,8470.199361267523,-2518.8995284764333,0.7026162642647065,-0.24584202449135084,5951.968459596857
MEXURWLRXYTWGT-UHFFFAOYSA-N,1-(4-Ethylcyclohexyl)-4-[4-(4-methylcyclohexyl)phenyl]benzene,104021-92-3,12,54154_12,failed,True,identity_unresolved_stereochemistry,Geometry identity not accepted under current policy; see identity_observations,63,27,4,63-70,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,7,1638.7077018208802,962.7496483093128,2601.457350130193,1638.329,962.67,2600.999,2602.039149821736,COMPLETED,2603,1381460.0,637624,659131,db6be114dc1a3f00d3481f7d9c48eb1b36e169956eb19b6a0d31d48347d20ef9,MEXURWLRXYTWGT-NVNMMGJXSA-N,7881.312559978412,-5279.855209848219,0.3300792006829531,-1.0013202850040024,2602.039149821736
PUKBPIIUNNWYDU-UHFFFAOYSA-N,"N-{[3-(2H-Benzotriazol-2-yl)-2-hydroxy-5-(2,4,4-trimethylpentan-2-yl)phenyl]methyl}-2-methylprop-2-enamide",107479-06-1,13,54154_13,converged,True,,,63,31,6,63-70,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,19,5731.839143646881,1596.8298649908975,7328.6690086377785,5731.704,1596.779,7328.483,7329.8135931473225,COMPLETED,7331,1479880.0,645571,667488,72903887927efbc8bef483bad48554464be2ed2521ed65ef0c4a44786980a296,PUKBPIIUNNWYDU-UHFFFAOYSA-N,7881.312559978412,-552.6435513406332,0.9298792495368123,0.03440182577153905,7329.8135931473225
NRQGQYQDHVOAGU-UHFFFAOYSA-N,Bis{2-[2-(2-methoxyethoxy)ethoxy]ethyl} butanedioate,869483-81-8,14,54154_14,converged,True,,,62,28,21,55-62,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,66,11898.236942774616,736.1058429488912,12634.342785723507,11897.662,736.035,12633.697,12634.868268696591,COMPLETED,12636,1450520.0,680592,703523,626cc0eeda39f54ddbc16ed2ea9e115f0fc5840e81cd1f116bd2e1441f4aa05b,NRQGQYQDHVOAGU-UHFFFAOYSA-N,7595.850911394077,5038.49187432943,1.6633215861005766,0.6159189248497388,12634.868268696591
BYLSIPUARIZAHZ-UHFFFAOYSA-N,"2,4,6-Tris(1-phenylethyl)phenol",18254-13-2,15,54154_15,failed,True,identity_unresolved_stereochemistry,Geometry identity not accepted under current policy; see identity_observations,61,31,6,55-62,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,16,4715.598809267394,1414.3007354494184,6129.899544716813,4715.124,1414.237,6129.361,6130.4240696541965,COMPLETED,6131,1436900.0,669181,690462,d8b33c35955f522563507f264dafaac8bd20fdd9d4f1fa52965b76b0297ca945,BYLSIPUARIZAHZ-RJGXRXQPSA-N,7316.338307353195,-1186.4387626363823,0.8378370828691769,-0.06982924300716853,6130.4240696541965
ARCAURIQGNHJJN-UHFFFAOYSA-N,"[3,3'-Bianthra[1,9-cd]pyrazole]-6,6'(1H,1'H)-dione, 1,1'-diethyl-",4203-77-4,16,54154_16,converged,True,,,60,38,3,55-62,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,13,7540.760624726303,1611.35262523219,9152.113249958493,7540.615,1611.309,9151.923999999999,9152.622314293869,COMPLETED,9153,1900572.0,683284,704262,732873cc94281d79b52bc0e43a0444a9b123c08e03e8e0be6f7950f7ef2dfdfc,ARCAURIQGNHJJN-UHFFFAOYSA-N,7042.745246735343,2109.3680032231496,1.29950934320689,0.3690891311650528,9152.622314293869
BKFYUWLQRVZZCR-UHFFFAOYSA-N,"3,6,9,16,19,22-Hexaoxatricyclo[22.2.2.211,14]triaconta-11,13,24,26,27,29-hexaene-2,10,15,23-tetrone",16104-98-6,17,54154_17,converged,True,,,58,34,0,55-62,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,17,4265.870774113573,1488.0418221289292,5753.912596242502,4265.713,1487.991,5753.704,5754.32156679593,COMPLETED,5754,1685948.0,658213,678890,e5aa3064a7e8cfbd789448d803c7456aea994fcc57ef3305c07542c069fc2c9d,BKFYUWLQRVZZCR-UHFFFAOYSA-N,6513.198053013009,-759.2854567705062,0.8834235577376216,-0.0168481468070123,5754.32156679593
