polymer,entry_id,merged_into,heavy_atom_symmetry_aligned_RMSD_A,absolute_OPT_energy_difference_hartree
pe,pe__config_6040,pe__config_3410,3.129783084366829e-05,9.860059435595758e-10
pe,pe__config_4140,pe__config_4170,1.1970496441040093e-06,7.469793672498781e-10
pe,pe__config_7530,pe__config_7520,0.00011138685138791317,3.203797405149089e-08
pe,pe__config_1960,pe__config_1950,3.1064638645792276e-05,8.349729796464089e-10
pe,pe__config_2070,pe__config_1950,7.288729316569306e-05,2.2189965420693625e-09
pp,pp__config_43170,pp__config_54020,0.0004870578308366977,5.970105121377856e-08
pp,pp__config_2700,pp__config_2080,0.00047661701425454544,1.056298515322851e-08
pvc,pvc__config_76710,pvc__config_19400,0.0003259471745784459,1.9437720766291022e-08
pvc,pvc__config_48010,pvc__config_19400,0.0003090907599350727,2.2017047740519047e-08
pvc,pvc__config_98180,pvc__config_19400,0.019129462994738427,8.488791081617819e-06
pvc,pvc__config_17400,pvc__config_14260,0.0002542645170726961,4.462390279513784e-08
pvc,pvc__config_20310,pvc__config_20190,0.0002676660680154395,3.232980816392228e-08
pvdf,pvdf__conformer_007_frame18,pvdf__conformer_009_frame26,0.0003789580200074828,4.128514774492942e-08
pvdf,pvdf__conformer_008_frame22,pvdf__conformer_009_frame26,0.0003610910578536875,4.444405021786224e-08
pvdf,pvdf__conformer_014_frame42,pvdf__conformer_016_frame44,0.0001358665880369078,5.878973752260208e-09
pvdf,pvdf__conformer_021_frame80,pvdf__conformer_022_frame81,2.1342505858227428e-05,1.2470081856008619e-08
pvdf,pvdf__conformer_023_frame82,pvdf__conformer_024_frame84,0.002507299245550858,6.291459158092039e-07
