convention,solute,solvent,A_retention_order_most_first,B_retention_order_most_first,Spearman_rho,Kendall_tau,A_top_polymer,B_top_polymer,top_changed,A_top_gap_log_units,B_top_gap_log_units
normalized,BBP,"1,2-propanediol",pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155076,0.13012094303029476
normalized,BBP,1-propanol,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155078,0.13012094303029476
normalized,BBP,"2,3-dihydropyran",pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155078,0.13012094303029476
normalized,BBP,2-butanone,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155078,0.13012094303029476
normalized,BBP,acetic acid,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155076,0.13012094303029476
normalized,BBP,acetone,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155079,0.13012094303029464
normalized,BBP,acetylacetone,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155077,0.13012094303029478
normalized,BBP,benzene,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155077,0.13012094303029464
normalized,BBP,chloroform,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155088,0.13012094303029476
normalized,BBP,cyclohexane,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155078,0.13012094303029464
normalized,BBP,cyclohexanol,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155078,0.13012094303029476
normalized,BBP,dichloromethane,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155083,0.13012094303029498
normalized,BBP,dimethyl sulfoxide,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155078,0.13012094303029476
normalized,BBP,diphenyl ether,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155077,0.13012094303029467
normalized,BBP,dodecane,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155077,0.13012094303029476
normalized,BBP,ethanol,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155076,0.13012094303029464
normalized,BBP,ethyl acetate,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155079,0.13012094303029464
normalized,BBP,ethylene glycol,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155079,0.1301209430302951
normalized,BBP,heptane,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155079,0.13012094303029487
normalized,BBP,hexane,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155079,0.1301209430302947
normalized,BBP,isopropanol,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155078,0.13012094303029464
normalized,BBP,isopropylamine,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155079,0.13012094303029476
normalized,BBP,methanol,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155076,0.13012094303029476
normalized,BBP,methylacetate,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155079,0.13012094303029476
normalized,BBP,"n,n-dimethylformamide",pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155077,0.13012094303029487
normalized,BBP,o-xylene,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155078,0.13012094303029476
normalized,BBP,tert-butanol,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155077,0.1301209430302947
normalized,BBP,tetrahydrofuran,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155077,0.13012094303029476
normalized,BBP,tetrahydropyran,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155077,0.13012094303029476
normalized,BBP,toluene,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155078,0.13012094303029476
normalized,BBP,triethylamine,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155079,0.13012094303029478
normalized,BBP,water,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,pvdf>pvc>evoh>pe>nylon6>pp>nylon66,1.0,1.0,pvdf,pvdf,False,0.6373032376155079,0.13012094303029365
normalized,DBP,"1,2-propanediol",pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350715,0.12208142936369604
normalized,DBP,1-propanol,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350716,0.12208142936369604
normalized,DBP,"2,3-dihydropyran",pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350716,0.12208142936369604
normalized,DBP,2-butanone,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350716,0.12208142936369604
normalized,DBP,acetic acid,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350716,0.12208142936369604
normalized,DBP,acetone,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350716,0.12208142936369593
normalized,DBP,acetylacetone,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvdf>pvc>pe>evoh>pp>nylon6>nylon66,0.9642857142857145,0.9047619047619049,pvdf,pvdf,False,0.5580050348350716,0.12208142936369609
