path	identity	name	run_folder	released_surface	status	files	withheld	generated
orca-calculation-files/contaminants/AANMVENRNJYEMK-UHFFFAOYSA-N	AANMVENRNJYEMK-UHFFFAOYSA-N	4-Isopropyl-2-cyclohexenone	campaign-v1/runs/AANMVENRNJYEMK-UHFFFAOYSA-N	contaminants/AANMVENRNJYEMK-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AAQDYYFAFXGBFZ-UHFFFAOYSA-N	AAQDYYFAFXGBFZ-UHFFFAOYSA-N	Tetrahydrofurfuryl acetate	campaign-v1/runs/AAQDYYFAFXGBFZ-UHFFFAOYSA-N	contaminants/AAQDYYFAFXGBFZ-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AAUHUDBDDBJONC-UHFFFAOYSA-N	AAUHUDBDDBJONC-UHFFFAOYSA-N	3-Heptene, 3-methyl-	campaign-v1/runs/AAUHUDBDDBJONC-UHFFFAOYSA-N	contaminants/AAUHUDBDDBJONC-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/ABIPNDAVRBMCHV-UHFFFAOYSA-N	ABIPNDAVRBMCHV-UHFFFAOYSA-N	1,1-Dimethyltetralin	campaign-v1/runs/ABIPNDAVRBMCHV-UHFFFAOYSA-N	contaminants/ABIPNDAVRBMCHV-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/ABMKWMASVFVTMD-UHFFFAOYSA-N	ABMKWMASVFVTMD-UHFFFAOYSA-N	2,2'-Dimethylbiphenyl	campaign-v1/runs/ABMKWMASVFVTMD-UHFFFAOYSA-N	contaminants/ABMKWMASVFVTMD-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/ABMULKFGWTYIIK-UHFFFAOYSA-N	ABMULKFGWTYIIK-UHFFFAOYSA-N	2-Hexylphenol	campaign-v1/runs/ABMULKFGWTYIIK-UHFFFAOYSA-N	contaminants/ABMULKFGWTYIIK-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/ABRWCGWMRMPLID-HMUOIZGVSA-N	ABRWCGWMRMPLID-HMUOIZGVSA-N	5alpha-Cholestan-3beta-ol, 2-methylene-	campaign-v1/runs/ABRWCGWMRMPLID-HMUOIZGVSA-N	contaminants/ABRWCGWMRMPLID-HMUOIZGVSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/ABUZDQCQXDZFRG-UHFFFAOYSA-N	ABUZDQCQXDZFRG-UHFFFAOYSA-N	Adipic acid, methyl vinyl ester	campaign-v1/runs/ABUZDQCQXDZFRG-UHFFFAOYSA-N	contaminants/ABUZDQCQXDZFRG-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/ABXXXZLVKKIAGK-UHFFFAOYSA-N	ABXXXZLVKKIAGK-UHFFFAOYSA-N	Isooctyl epoxyoctadecanoate	campaign-v1/runs/ABXXXZLVKKIAGK-UHFFFAOYSA-N	contaminants/ABXXXZLVKKIAGK-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/ACDUHTSVVVHMGU-UHFFFAOYSA-N	ACDUHTSVVVHMGU-UHFFFAOYSA-N	Hexadecan-3-ol	campaign-v1/runs/ACDUHTSVVVHMGU-UHFFFAOYSA-N	contaminants/ACDUHTSVVVHMGU-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/ACTNHJDHMQSOGL-UHFFFAOYSA-N	ACTNHJDHMQSOGL-UHFFFAOYSA-N	N1,N1-Dibenzylethane-1,2-diamine	campaign-v1/runs/ACTNHJDHMQSOGL-UHFFFAOYSA-N	contaminants/ACTNHJDHMQSOGL-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/ACUZDYFTRHEKOS-UHFFFAOYSA-N	ACUZDYFTRHEKOS-UHFFFAOYSA-N	2-Decanol	campaign-v1/runs/ACUZDYFTRHEKOS-UHFFFAOYSA-N	contaminants/ACUZDYFTRHEKOS-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/ACYBVNYNIZTUIL-UHFFFAOYSA-N	ACYBVNYNIZTUIL-UHFFFAOYSA-N	N-Benzylethylenediamine	campaign-v1/runs/ACYBVNYNIZTUIL-UHFFFAOYSA-N	contaminants/ACYBVNYNIZTUIL-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/ACYOLKMEHHTLAB-UHFFFAOYSA-N	ACYOLKMEHHTLAB-UHFFFAOYSA-N	12-Methylbenz(a)anthracene	campaign-v1/runs/ACYOLKMEHHTLAB-UHFFFAOYSA-N	contaminants/ACYOLKMEHHTLAB-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/ADAHGVUHKDNLEB-UHFFFAOYSA-N	ADAHGVUHKDNLEB-UHFFFAOYSA-N	Bis(2,3-epoxycyclopentyl) ether	campaign-v1/runs/ADAHGVUHKDNLEB-UHFFFAOYSA-N	contaminants/ADAHGVUHKDNLEB-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/ADCWDMYESTYBBN-UHFFFAOYSA-N	ADCWDMYESTYBBN-UHFFFAOYSA-N	Disperse Red 17	campaign-v1/runs/ADCWDMYESTYBBN-UHFFFAOYSA-N	contaminants/ADCWDMYESTYBBN-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/ADFXKUOMJKEIND-UHFFFAOYSA-N	ADFXKUOMJKEIND-UHFFFAOYSA-N	1,3-Dicyclohexylurea	campaign-v1/runs/ADFXKUOMJKEIND-UHFFFAOYSA-N	contaminants/ADFXKUOMJKEIND-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/ADGJZVKOKVENDN-UHFFFAOYSA-N	ADGJZVKOKVENDN-UHFFFAOYSA-N	N-(Butoxymethyl)methacrylamide	campaign-v1/runs/ADGJZVKOKVENDN-UHFFFAOYSA-N	contaminants/ADGJZVKOKVENDN-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/ADHNUPOJJCKWRT-JLXBFWJWSA-N	ADHNUPOJJCKWRT-JLXBFWJWSA-N	Octadecadienoic acid	campaign-v1/runs/ADHNUPOJJCKWRT-JLXBFWJWSA-N	contaminants/ADHNUPOJJCKWRT-JLXBFWJWSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/ADOBXTDBFNCOBN-UHFFFAOYSA-N	ADOBXTDBFNCOBN-UHFFFAOYSA-N	1-Heptadecene	campaign-v1/runs/ADOBXTDBFNCOBN-UHFFFAOYSA-N	contaminants/ADOBXTDBFNCOBN-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/ADOQBZAVKYCFOI-HWKANZROSA-N	ADOQBZAVKYCFOI-HWKANZROSA-N	(E)-2-Dodecene	campaign-v1/runs/ADOQBZAVKYCFOI-HWKANZROSA-N	contaminants/ADOQBZAVKYCFOI-HWKANZROSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/ADQJFBQXLAAVQA-UHFFFAOYSA-N	ADQJFBQXLAAVQA-UHFFFAOYSA-N	1-Methyl-2-propylcyclopentane	campaign-v1/runs/ADQJFBQXLAAVQA-UHFFFAOYSA-N	contaminants/ADQJFBQXLAAVQA-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/ADSOSINJPNKUJK-UHFFFAOYSA-N	ADSOSINJPNKUJK-UHFFFAOYSA-N	2-Butylpyridine	campaign-v1/runs/ADSOSINJPNKUJK-UHFFFAOYSA-N	contaminants/ADSOSINJPNKUJK-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/ADTJPOBHAXXXFS-UHFFFAOYSA-N	ADTJPOBHAXXXFS-UHFFFAOYSA-N	N-(3-(Dimethylamino)propyl)acrylamide	campaign-v1/runs/ADTJPOBHAXXXFS-UHFFFAOYSA-N	contaminants/ADTJPOBHAXXXFS-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/ADUAASDQTXSPNT-NYYWCZLTSA-N	ADUAASDQTXSPNT-NYYWCZLTSA-N	C.I. Direct Yellow 24	campaign-v1/runs/ADUAASDQTXSPNT-NYYWCZLTSA-N	contaminants/ADUAASDQTXSPNT-NYYWCZLTSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AEIJTFQOBWATKX-UHFFFAOYSA-N	AEIJTFQOBWATKX-UHFFFAOYSA-N	1,2-Octanediol	campaign-v1/runs/AEIJTFQOBWATKX-UHFFFAOYSA-N	contaminants/AEIJTFQOBWATKX-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AEMFNILZOJDQLW-QAGGRKNESA-N	AEMFNILZOJDQLW-QAGGRKNESA-N	Androstenedione	campaign-v1/runs/AEMFNILZOJDQLW-QAGGRKNESA-N	contaminants/AEMFNILZOJDQLW-QAGGRKNESA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AEMRFAOFKBGASW-UHFFFAOYSA-N	AEMRFAOFKBGASW-UHFFFAOYSA-N	Glycolic Acid	campaign-v1/runs/AEMRFAOFKBGASW-UHFFFAOYSA-N	contaminants/AEMRFAOFKBGASW-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AEPUKSBIJZXFCI-UHFFFAOYSA-N	AEPUKSBIJZXFCI-UHFFFAOYSA-N	Dibenzyl azelate	campaign-v1/runs/AEPUKSBIJZXFCI-UHFFFAOYSA-N	contaminants/AEPUKSBIJZXFCI-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AEPWOCLBLLCOGZ-UHFFFAOYSA-N	AEPWOCLBLLCOGZ-UHFFFAOYSA-N	2-Cyanoethyl acrylate	campaign-v1/runs/AEPWOCLBLLCOGZ-UHFFFAOYSA-N	contaminants/AEPWOCLBLLCOGZ-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AERBNCYCJBRYDG-UHFFFAOYSA-N	AERBNCYCJBRYDG-UHFFFAOYSA-N	2-Aminooctadecane-1,3,4-triol	campaign-v1/runs/AERBNCYCJBRYDG-UHFFFAOYSA-N	contaminants/AERBNCYCJBRYDG-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AERGGMDNGDDGPI-HOTGVXAUSA-N	AERGGMDNGDDGPI-HOTGVXAUSA-N	trans-1,2-Diphenylcyclobutane	campaign-v1/runs/AERGGMDNGDDGPI-HOTGVXAUSA-N	contaminants/AERGGMDNGDDGPI-HOTGVXAUSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AERGGMDNGDDGPI-IYBDPMFKSA-N	AERGGMDNGDDGPI-IYBDPMFKSA-N	cis-1,2-Diphenylcyclobutane	campaign-v1/runs/AERGGMDNGDDGPI-IYBDPMFKSA-N	contaminants/AERGGMDNGDDGPI-IYBDPMFKSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AERGGMDNGDDGPI-UHFFFAOYSA-N	AERGGMDNGDDGPI-UHFFFAOYSA-N	1,2-Diphenylcyclobutane	campaign-v1/runs/AERGGMDNGDDGPI-UHFFFAOYSA-N	contaminants/AERGGMDNGDDGPI-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AEUORZZHALJMBM-UHFFFAOYSA-N	AEUORZZHALJMBM-UHFFFAOYSA-N	Dibenzyl adipate	campaign-v1/runs/AEUORZZHALJMBM-UHFFFAOYSA-N	contaminants/AEUORZZHALJMBM-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AFABGHUZZDYHJO-UHFFFAOYSA-N	AFABGHUZZDYHJO-UHFFFAOYSA-N	2-Methylpentane	campaign-v1/runs/AFABGHUZZDYHJO-UHFFFAOYSA-N	contaminants/AFABGHUZZDYHJO-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AFBPFSWMIHJQDM-UHFFFAOYSA-N	AFBPFSWMIHJQDM-UHFFFAOYSA-N	N-Methylaniline	campaign-v1/runs/AFBPFSWMIHJQDM-UHFFFAOYSA-N	contaminants/AFBPFSWMIHJQDM-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AFEYPUTUUQHPJT-UHFFFAOYSA-N	AFEYPUTUUQHPJT-UHFFFAOYSA-N	3a,6-Methano-3aH-indene, 2,3,4,5,6,7-hexahydro-	campaign-v1/runs/AFEYPUTUUQHPJT-UHFFFAOYSA-N	contaminants/AFEYPUTUUQHPJT-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AFFLGGQVNFXPEV-UHFFFAOYSA-N	AFFLGGQVNFXPEV-UHFFFAOYSA-N	1-Decene	campaign-v1/runs/AFFLGGQVNFXPEV-UHFFFAOYSA-N	contaminants/AFFLGGQVNFXPEV-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AFKUSTCGONJZHE-UHFFFAOYSA-N	AFKUSTCGONJZHE-UHFFFAOYSA-N	8-Methylheptadecane	campaign-v1/runs/AFKUSTCGONJZHE-UHFFFAOYSA-N	contaminants/AFKUSTCGONJZHE-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AFNWSIIBAYUTTL-UHFFFAOYSA-N	AFNWSIIBAYUTTL-UHFFFAOYSA-N	7-Tetradecyne	campaign-v1/runs/AFNWSIIBAYUTTL-UHFFFAOYSA-N	contaminants/AFNWSIIBAYUTTL-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AFSIMBWBBOJPJG-UHFFFAOYSA-N	AFSIMBWBBOJPJG-UHFFFAOYSA-N	Vinyl stearate	campaign-v1/runs/AFSIMBWBBOJPJG-UHFFFAOYSA-N	contaminants/AFSIMBWBBOJPJG-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AFUVERHXBGWDBX-UHFFFAOYSA-N	AFUVERHXBGWDBX-UHFFFAOYSA-N	2H-Indeno[1,2-b]furan-2-one, 3,3a,4,5,6,7,8,8b-octahydro-8,8-dimethyl	campaign-v1/runs/AFUVERHXBGWDBX-UHFFFAOYSA-N	contaminants/AFUVERHXBGWDBX-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AFYCEAFSNDLKSX-UHFFFAOYSA-N	AFYCEAFSNDLKSX-UHFFFAOYSA-N	7-Diethylamino-4-methylcoumarin	campaign-v1/runs/AFYCEAFSNDLKSX-UHFFFAOYSA-N	contaminants/AFYCEAFSNDLKSX-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AFZZFBZPHUDOLV-UHFFFAOYSA-N	AFZZFBZPHUDOLV-UHFFFAOYSA-N	4-Morpholinepropanamine, N-1-naphthalenyl-	campaign-v1/runs/AFZZFBZPHUDOLV-UHFFFAOYSA-N	contaminants/AFZZFBZPHUDOLV-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AGEXUCKZTAUZJM-UHFFFAOYSA-N	AGEXUCKZTAUZJM-UHFFFAOYSA-N	1,3,5-Triazine-2,4,6-tris(2-hydroxyethyl)tris(methacrylate)	campaign-v1/runs/AGEXUCKZTAUZJM-UHFFFAOYSA-N	contaminants/AGEXUCKZTAUZJM-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AGKBXKFWMQLFGZ-UHFFFAOYSA-N	AGKBXKFWMQLFGZ-UHFFFAOYSA-N	Bis(4-methylbenzoyl)peroxide	campaign-v1/runs/AGKBXKFWMQLFGZ-UHFFFAOYSA-N	contaminants/AGKBXKFWMQLFGZ-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AGNLJNRENXLLQO-UHFFFAOYSA-N	AGNLJNRENXLLQO-UHFFFAOYSA-N	gamma-Tetradecalactone	campaign-v1/runs/AGNLJNRENXLLQO-UHFFFAOYSA-N	contaminants/AGNLJNRENXLLQO-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AGNTUZCMJBTHOG-UHFFFAOYSA-N	AGNTUZCMJBTHOG-UHFFFAOYSA-N	Polyglycerin-3	campaign-v1/runs/AGNTUZCMJBTHOG-UHFFFAOYSA-N	contaminants/AGNTUZCMJBTHOG-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AGPLQTQFIZBOLI-UHFFFAOYSA-N	AGPLQTQFIZBOLI-UHFFFAOYSA-N	4-Benzylbiphenyl	campaign-v1/runs/AGPLQTQFIZBOLI-UHFFFAOYSA-N	contaminants/AGPLQTQFIZBOLI-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AGRIQBHIKABLPJ-UHFFFAOYSA-N	AGRIQBHIKABLPJ-UHFFFAOYSA-N	1-Formylpyrrolidine	campaign-v1/runs/AGRIQBHIKABLPJ-UHFFFAOYSA-N	contaminants/AGRIQBHIKABLPJ-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AGUBCDYYAKENKG-YVNJGZBMSA-N	AGUBCDYYAKENKG-YVNJGZBMSA-N	Ethyl abietate	campaign-v1/runs/AGUBCDYYAKENKG-YVNJGZBMSA-N	contaminants/AGUBCDYYAKENKG-YVNJGZBMSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AGVKXDPPPSLISR-UHFFFAOYSA-N	AGVKXDPPPSLISR-UHFFFAOYSA-N	N-Ethylcyclohexylamine	campaign-v1/runs/AGVKXDPPPSLISR-UHFFFAOYSA-N	contaminants/AGVKXDPPPSLISR-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AHAMRTRAKUNZMP-UHFFFAOYSA-N	AHAMRTRAKUNZMP-UHFFFAOYSA-N	Undec-10-ynoic acid, hexadecyl ester	campaign-v1/runs/AHAMRTRAKUNZMP-UHFFFAOYSA-N	contaminants/AHAMRTRAKUNZMP-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AHDSRXYHVZECER-UHFFFAOYSA-N	AHDSRXYHVZECER-UHFFFAOYSA-N	2,4,6-Tris(dimethylaminomethyl)phenol	campaign-v1/runs/AHDSRXYHVZECER-UHFFFAOYSA-N	contaminants/AHDSRXYHVZECER-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AHHGVKNOSDJAQN-FPLPWBNLSA-N	AHHGVKNOSDJAQN-FPLPWBNLSA-N	(3Z)-4-(2,3,6-trimethylphenyl)but-3-en-2-one	campaign-v1/runs/AHHGVKNOSDJAQN-FPLPWBNLSA-N	contaminants/AHHGVKNOSDJAQN-FPLPWBNLSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AHIPJALLQVEEQF-UHFFFAOYSA-N	AHIPJALLQVEEQF-UHFFFAOYSA-N	4-(Diglycidylamino)phenyl glycidyl ether	campaign-v1/runs/AHIPJALLQVEEQF-UHFFFAOYSA-N	contaminants/AHIPJALLQVEEQF-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AHMSERHYRMNFKO-UHFFFAOYSA-N	AHMSERHYRMNFKO-UHFFFAOYSA-N	6-Methyl-1,2,3,5-tetrahydro-s-indacene	campaign-v1/runs/AHMSERHYRMNFKO-UHFFFAOYSA-N	contaminants/AHMSERHYRMNFKO-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AHNZGLABLPCXKB-UHFFFAOYSA-N	AHNZGLABLPCXKB-UHFFFAOYSA-N	Cyclohexene, 1-octyl-	campaign-v1/runs/AHNZGLABLPCXKB-UHFFFAOYSA-N	contaminants/AHNZGLABLPCXKB-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AHQSSWHOKBCJFA-WUKNDPDISA-N	AHQSSWHOKBCJFA-WUKNDPDISA-N	2-Octadecenal	campaign-v1/runs/AHQSSWHOKBCJFA-WUKNDPDISA-N	contaminants/AHQSSWHOKBCJFA-WUKNDPDISA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AHRSDJSWAISEMM-UHFFFAOYSA-N	AHRSDJSWAISEMM-UHFFFAOYSA-N	2-[2-(2-Hydroxyphenyl)-2-oxoethoxy]benzoic acid	campaign-v1/runs/AHRSDJSWAISEMM-UHFFFAOYSA-N	contaminants/AHRSDJSWAISEMM-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AHSGHEXYEABOKT-UHFFFAOYSA-N	AHSGHEXYEABOKT-UHFFFAOYSA-N	Triethylene glycol dibenzoate	campaign-v1/runs/AHSGHEXYEABOKT-UHFFFAOYSA-N	contaminants/AHSGHEXYEABOKT-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AHWMWMNEYBHQNL-UHFFFAOYSA-N	AHWMWMNEYBHQNL-UHFFFAOYSA-N	Sudan Brown RR	campaign-v1/runs/AHWMWMNEYBHQNL-UHFFFAOYSA-N	contaminants/AHWMWMNEYBHQNL-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
orca-calculation-files/contaminants/AIJULSRZWUXGPQ-UHFFFAOYSA-N	AIJULSRZWUXGPQ-UHFFFAOYSA-N	Methylglyoxal	campaign-v1/runs/AIJULSRZWUXGPQ-UHFFFAOYSA-N	contaminants/AIJULSRZWUXGPQ-UHFFFAOYSA-N.orcacosmo	converged_identity_pending	10	-	-
