tier,inchikey,name,source_rows,cas,smiles,isotope_composition,unlabelled_parent_inchikey,unlabelled_parent_smiles,parent_present_in_same_tier,parent_present_in_any_tier,parent_tier,parent_names,parent_source_rows
CHNO,BJQHLKABXJIVAM-SAQXESPHSA-N,Bis(2-ethylhexyl) Phthalate-d4,1,93951-87-2,[2H]C1=C(C(=C(C(=C1[2H])C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC)[2H])[2H],"{""2H"": 4}",BJQHLKABXJIVAM-UHFFFAOYSA-N,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,True,True,CHNO,Bis(2-ethylhexyl) phthalate,1
CHNO,CSHWQDPOILHKBI-AQZSQYOVSA-N,Perylene-D12,1,1520-96-3,[2H]C1=C(C2=C3C(=C1[2H])C4=C(C(=C(C5=C4C(=C(C(=C5[2H])[2H])[2H])C3=C(C(=C2[2H])[2H])[2H])[2H])[2H])[2H])[2H],"{""2H"": 12}",CSHWQDPOILHKBI-UHFFFAOYSA-N,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,True,True,CHNO,Perylene,1
CHNO,DOIRQSBPFJWKBE-ULDPCNCHSA-N,Di-n-butyl phthalate-d4,1,93952-11-5,[2H]C1=C(C(=C(C(=C1[2H])C(=O)OCCCC)C(=O)OCCCC)[2H])[2H],"{""2H"": 4}",DOIRQSBPFJWKBE-UHFFFAOYSA-N,CCCCOC(=O)c1ccccc1C(=O)OCCCC,True,True,CHNO,Dibutyl Phthalate,1
CHNO,DXBHBZVCASKNBY-AQZSQYOVSA-N,Benz[a]anthracene-d12,1,1718-53-2,[2H]C1=C(C(=C2C(=C1[2H])C(=C(C3=C(C4=C(C(=C(C(=C4C(=C32)[2H])[2H])[2H])[2H])[2H])[2H])[2H])[2H])[2H])[2H],"{""2H"": 12}",DXBHBZVCASKNBY-UHFFFAOYSA-N,c1ccc2cc3c(ccc4ccccc43)cc2c1,True,True,CHNO,Benz(a)anthracene,1
CHNO,GVEPBJHOBDJJJI-LHNTUAQVSA-N,"Fluoranthene-1,2,3,4,5,6,7,8,9,10-d10",1,93951-69-0,[2H]C1=C(C(=C2C(=C1[2H])C3=C(C(=C(C4=C3C2=C(C(=C4[2H])[2H])[2H])[2H])[2H])[2H])[2H])[2H],"{""2H"": 10}",GVEPBJHOBDJJJI-UHFFFAOYSA-N,c1ccc2c(c1)-c1cccc3cccc-2c13,True,True,CHNO,Fluoranthene,1
CHNO,LRHPLDYGYMQRHN-UICOGKGYSA-N,Butan-1-(2H)ol,1,4712-38-3,[2H]OCCCC,"{""2H"": 1}",LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,True,True,CHNO,1-Butanol,1
CHNO,NIHNNTQXNPWCJQ-QNNBDYQESA-N,Fluorene-d10,1,81103-79-9,[2H]C1=C(C(=C2C(=C1[2H])C3=C(C(=C(C(=C3C2([2H])[2H])[2H])[2H])[2H])[2H])[2H])[2H],"{""2H"": 10}",NIHNNTQXNPWCJQ-UHFFFAOYSA-N,c1ccc2c(c1)Cc1ccccc1-2,True,True,CHNO,Fluorene,1
CHNO,UHOVQNZJYSORNB-MZWXYZOWSA-N,Benzene-d6,1,1076-43-3,[2H]C1=C(C(=C(C(=C1[2H])[2H])[2H])[2H])[2H],"{""2H"": 6}",UHOVQNZJYSORNB-UHFFFAOYSA-N,c1ccccc1,True,True,CHNO,Benzene,1
CHNO,VOWAEIGWURALJQ-ZZRPVTOQSA-N,"Dicyclohexyl phthalate-3,4,5,6-d4",1,358731-25-6,[2H]C1=C(C(=C(C(=C1[2H])C(=O)OC2CCCCC2)C(=O)OC3CCCCC3)[2H])[2H],"{""2H"": 4}",VOWAEIGWURALJQ-UHFFFAOYSA-N,O=C(OC1CCCCC1)c1ccccc1C(=O)OC1CCCCC1,True,True,CHNO,Dicyclohexyl phthalate,1
heteroatoms,WMUBNWIGNSIRDH-VMGGCIAMSA-N,"2,3,3-Tris[(36Cl)chloro]prop-2-enoic acid",1,18901-22-9,C(=C([36Cl])[36Cl])(C(=O)O)[36Cl],"{""36Cl"": 3}",WMUBNWIGNSIRDH-UHFFFAOYSA-N,O=C(O)C(Cl)=C(Cl)Cl,False,False,,,0
