n,slope_B_on_A,intercept,intercept_standard_error_OLS,intercept_CI95_low,intercept_CI95_high,residual_SD_n_minus_2,mean_B_minus_A,MAE_B_minus_A,polymer,convention,sign_changes
128,0.9735491014492313,-0.19525364941318013,0.04549664937026415,-0.28529018100600834,-0.10521711782035195,0.42641992469064244,-0.2205891850966292,0.25425158289058614,evoh,normalized,4
128,0.9732681220588687,-0.2202819802971786,0.04845469050764086,-0.3161723883403542,-0.12439157225400299,0.42678668050607044,-0.25088152180319806,0.2758599085334673,nylon6,normalized,3
128,0.9741151782750499,-0.2006570136225032,0.049801833928672164,-0.29921337889256483,-0.10210064835244156,0.4261754177949412,-0.23259040045389812,0.2624773785389686,nylon66,normalized,0
128,0.9806288421782665,-0.26938556938500136,0.04515293893343939,-0.35874190812775597,-0.18002923064224674,0.43521985261764784,-0.2862445420282104,0.30575768047370944,pe,normalized,5
128,0.9782153739512502,-0.21243074214116753,0.04566764663793488,-0.3028056722997368,-0.12205581198259825,0.4310201629014832,-0.23282519830896323,0.26544101568591416,pp,normalized,4
128,0.9741181409534863,-0.08042282045231383,0.03843361506844898,-0.15648181480099838,-0.004363826103629273,0.43218211698909004,-0.08444945631169123,0.23071519363198395,pvc,normalized,7
128,0.9738566620725244,0.40398612634825715,0.039206595413529194,0.3263974266207423,0.481574826075772,0.4262987703005483,0.41466371322412304,0.5638067054853507,pvdf,normalized,33
896,0.9286426537934828,-0.07771293910987531,0.017384367974539416,-0.11183186593062913,-0.043594012289121485,0.4729420167611228,-0.12755951296835247,0.3083299236057115,pooled,normalized,56
128,0.9778201059629839,-0.33810586203888693,0.044450766532308686,-0.4260726222422747,-0.25013910183549914,0.42939496339431016,-0.35744719529062136,0.363172191585048,evoh,existing,8
128,0.9775255585043606,-0.15098932718220748,0.04241090489067219,-0.2349192611646683,-0.06705939319974666,0.4297650661603258,-0.16698590415166628,0.2247520152063229,nylon6,existing,3
128,0.9783185117034907,-0.0707538737656882,0.04308792680020182,-0.15602361420401173,0.01451586667263531,0.4291414877576947,-0.08757882063936104,0.21766502895978423,nylon66,existing,6
128,0.9847668848502359,-0.2469161163092469,0.04086703475231587,-0.3277907766746094,-0.16604145594388442,0.4379949052694494,-0.25428052306512033,0.28291515709946213,pe,existing,9
128,0.9823981845358162,-0.21799300458936272,0.03910913846249202,-0.2953888398758154,-0.14059716930291005,0.4338702528163668,-0.22302900706763829,0.2597005731757001,pp,existing,8
128,0.9784520076629657,-0.6868768583109813,0.03855015206900745,-0.7631664759578153,-0.6105872406641474,0.4351045310127472,-0.6889912949818755,0.6889912949818755,pvc,existing,44
128,0.9781000605819692,0.4804913567644018,0.05213888744621038,0.37731003128785323,0.5836726822409504,0.42926887295726135,0.5100905328806395,0.6430993936008165,pvdf,existing,10
896,0.9218753433840086,-0.160238193776852,0.017974446384683172,-0.19551522091644902,-0.12496116663725498,0.5306131645401759,-0.18117460175937758,0.38289937922985845,pooled,existing,88
