polymer,convention,solute,solvent,A_logP_concentration,B_logP_concentration,delta_B_minus_A,A_logP_x,B_logP_x,sign_changed
evoh,normalized,DBP,"1,2-propanediol",-0.06978675329357176,0.14787337725951877,0.21766013055309053,-0.5163652803257297,-0.2923664403429801,True
evoh,normalized,DBP,dodecane,0.07449692295752919,-0.050618710865518855,-0.12511563382304805,0.11935834335311805,0.0005814189597291397,True
evoh,normalized,DEHP,"1,2-propanediol",-0.20742590671292804,0.009202555178801086,0.21662846189172913,-0.654004433745086,-0.4310372624236978,True
evoh,normalized,DEHP,acetic acid,0.20305100488966077,-0.09321112553101585,-0.2962621304206766,-0.351108792532143,-0.6410322135231604,True
nylon6,normalized,DEP,ethylene glycol,-0.03185691363990084,0.049664373035160025,0.08152128667506087,-0.8614520691177957,-0.773969650608314,True
nylon6,normalized,DEP,heptane,0.0469224056161377,-0.048504907365516825,-0.09542731298165452,-0.3616288472722179,-0.45109502841945154,True
nylon6,normalized,BBP,dodecane,0.02850560231636015,-0.07278605845702471,-0.10129166077338486,-0.18983184937745656,-0.2851623783164205,True
pe,normalized,DBP,"1,2-propanediol",-0.1813517611068841,0.049999519551830185,0.2313512806587143,-0.5149362203887055,-0.27850424498945514,True
pe,normalized,DEHP,acetylacetone,0.4074306745581532,-0.18065485551719146,-0.5880855300753447,0.21930341298073006,-0.3637014223540786,True
pe,normalized,DEHP,dimethyl sulfoxide,0.5070321477220866,-0.01339574821482864,-0.5204278959369153,0.15931293800046328,-0.35603426319591586,True
pe,normalized,DEHP,dodecane,0.14028616105263192,-0.13901646622288716,-0.2793026272755191,0.29814164919855735,0.023919716663574238,True
pe,normalized,DEHP,ethanol,0.18883914119003106,-0.10217052957318584,-0.29100967076321693,-0.2439056880253551,-0.5298346640480359,True
pp,normalized,DBP,"1,2-propanediol",-0.09896123119237588,0.17801687923513648,0.27697811042751236,-0.6368438441844071,-0.35328559629298656,True
pp,normalized,DBP,dodecane,0.0453224450587252,-0.02047520888990098,-0.06579765394862619,-0.0011202205055592664,-0.060337736990277314,True
pp,normalized,BBP,dodecane,0.05801471310802424,-0.04356993395617321,-0.10158464706419745,0.011572047543739772,-0.08343246205654954,True
pp,normalized,DEHP,acetylacetone,0.462914160772466,-0.019988778978253907,-0.4829029397507199,0.07048874548483297,-0.4058340568019788,True
pvc,normalized,DEP,ethanol,-0.1352186997336121,0.011308440821913401,0.14652714055552551,-0.7836335094078257,-0.6283506685367942,True
pvc,normalized,DEP,isopropanol,-0.20284234095896236,0.014065964278234588,0.21690830523719695,-0.7333868999480192,-0.5077228943953163,True
pvc,normalized,DBP,1-propanol,-0.1540217008067365,0.003446584613368664,0.15746828542010516,-0.6951737556554708,-0.5289497699198598,True
pvc,normalized,DBP,isopropanol,-0.14295738602565167,0.039859929276122086,0.18281731530177375,-0.6735019450147085,-0.48192892939742876,True
