convention,excluded,solvents,n,slope,intercept,residual_SD,R2,MAE,within_polymer_residual_SD
normalized,none,32,896,0.9286426537934824,-0.07771293910987505,0.47294201676112274,0.8995203871190872,0.3083299236057115,0.42917080088207565
normalized,water,31,868,0.682737503151602,0.1892753159040005,0.23508824882096505,0.9161389327411509,0.27455875534091034,0.21336562901700518
normalized,triethylamine,31,868,0.9300564023876694,-0.0823255139665432,0.47874023653334935,0.8998792707598953,0.3124281585588174,0.43552047331214516
normalized,chloroform,31,868,1.0100082172148959,-0.08342016685629197,0.4010365190498893,0.9249354666374084,0.2642005297365521,0.3139383475373153
normalized,water;triethylamine,30,840,0.6823922736345751,0.18915068069423696,0.23765970221198932,0.9159115505446408,0.2776678925169597,0.21636581987711778
normalized,water;chloroform,30,840,0.745124748970223,0.15840913901325776,0.2084196914981385,0.9209353660969375,0.2278326760672856,0.16748157009411446
normalized,water;chloroform;triethylamine,29,812,0.7456439064308488,0.1579714226583557,0.21047214707113082,0.9207710372796472,0.22943778075721166,0.17010700912925272
existing,none,32,896,0.9218753433840099,-0.16023819377685233,0.530613164540176,0.8852398746176632,0.38289937922985845,0.43208979138167725
existing,water,31,868,0.697654001504454,-0.006118510632249229,0.3313636094084427,0.8687121581861462,0.3493680297647183,0.218302331238391
existing,triethylamine,31,868,0.923362278547306,-0.16462162165820007,0.53585931673722,0.885952761120477,0.387092234654033,0.4384120122330195
existing,chloroform,31,868,0.9934644126982334,-0.13020376839042563,0.47178732210238994,0.9061594088033726,0.33942347484955226,0.31562015235408725
existing,water;triethylamine,30,840,0.6972002079462075,-0.007189395147627036,0.33327095987530436,0.8692706606000524,0.3525829353875273,0.22130967837157348
existing,water;chloroform,30,840,0.7542910916234438,-0.006635929638001471,0.31010350189988717,0.867840265479521,0.3033252169228973,0.17228759567139307
existing,water;chloroform;triethylamine,29,812,0.7546796155603849,-0.007503396069389401,0.3115572072956213,0.868423913371043,0.30506329815884375,0.17496215030170265
