convention,solvent,n,mean_B_minus_A,MAE,RMSE,residual_SD_after_removal,residual_SD_reduction
existing,water,28,-1.4223712126492027,1.4223712126492027,1.5178976798915385,0.3313636094084427,0.1992495551317333
existing,chloroform,28,-1.73065241501935,1.73065241501935,1.7655814215834191,0.47178732210238994,0.0588258424377861
existing,dichloromethane,28,-1.0489135477743285,1.0489135477743285,1.1026690738651956,0.5202277322563599,0.010385432283816165
existing,isopropylamine,28,0.20660367651705466,0.2926645384328956,0.3951050744652936,0.5312769218702637,-0.000663757330087611
existing,"1,2-propanediol",28,0.2204011525307567,0.3035385019863674,0.4046812610474054,0.5330056112266549,-0.0023924466864788663
existing,ethylene glycol,28,0.16964948036397628,0.27466940296572157,0.3803393417151331,0.5344864637121397,-0.0038732991719636622
existing,benzene,28,0.01192479915137196,0.2272270640713685,0.33652634188929453,0.5344874619396626,-0.003874297399486526
existing,isopropanol,28,0.05340179127433694,0.2388286454650052,0.3440717190966608,0.5348607204397244,-0.004247555899548394
existing,cyclohexanol,28,0.06941313858431487,0.23984899930129716,0.34573496861109565,0.5348821719601528,-0.004269007419976711
existing,toluene,28,-0.007348162999006714,0.23038426756406444,0.33588348595512285,0.5350428428549663,-0.004429678314790242
existing,"2,3-dihydropyran",28,-0.04330479160544295,0.24354815516276623,0.3388498662552203,0.5352806224988065,-0.004667457958630439
existing,tetrahydropyran,28,-0.04762200038539187,0.2446554046680347,0.33991723872570395,0.5353157677318136,-0.004702603191637511
existing,1-propanol,28,0.019847495852685977,0.23426108762412004,0.3390678138491931,0.5353182667502484,-0.004705102210072365
existing,tetrahydrofuran,28,-0.06921783847463013,0.255244052734103,0.34354244052725347,0.5353339390750641,-0.004720774534888061
existing,o-xylene,28,-0.022192917493652344,0.23422136779923233,0.33702678525090174,0.5353778945223919,-0.004764729982215887
existing,tert-butanol,28,-0.03406570679111837,0.24745896529788597,0.3465795149462202,0.5356579127483746,-0.005044748208198557
existing,ethanol,28,-0.03872164779165599,0.24566021607727823,0.3431266169950558,0.5358005187935194,-0.005187354253343379
existing,triethylamine,28,-0.06061806479971167,0.25292086108044837,0.34631372389368764,0.53585931673722,-0.005246152197043941
existing,acetylacetone,28,-0.24976366642997605,0.37590694306141625,0.4308120308528123,0.5359017991068347,-0.005288634566658623
existing,acetic acid,28,-0.18739619614164812,0.33525860411553055,0.39825223174973406,0.5359330490188837,-0.0053198844787076816
existing,methanol,28,-0.056325745499974676,0.2593994622523133,0.3503680411242145,0.5359441535070719,-0.005330988966895878
existing,cyclohexane,28,-0.055789179061767995,0.24815562410076736,0.34276076441718667,0.5359674005609047,-0.005354236020728709
