convention,solute,solvent,A_retention_order_most_first,B_retention_order_most_first,Spearman_rho,Kendall_tau,A_top_polymer,B_top_polymer,top_changed,A_top_gap_log_units,B_top_gap_log_units
normalized,DEHP,"1,2-propanediol",pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.30627702959499237,0.14567942310128168
normalized,DEHP,1-propanol,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.3062770295949919,0.1456794231012815
normalized,DEHP,"2,3-dihydropyran",pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.3062770295949917,0.14567942310128146
normalized,DEHP,2-butanone,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.3062770295949919,0.14567942310128157
normalized,DEHP,acetic acid,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.3062770295949919,0.14567942310128157
normalized,DEHP,acetone,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.3062770295949919,0.14567942310128162
normalized,DEHP,acetylacetone,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.30627702959499187,0.1456794231012815
normalized,DEHP,benzene,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.3062770295949917,0.14567942310128124
normalized,DEHP,chloroform,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.3062770295949928,0.14567942310128146
normalized,DEHP,cyclohexane,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.3062770295949919,0.14567942310128157
normalized,DEHP,cyclohexanol,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.3062770295949919,0.14567942310128157
normalized,DEHP,dichloromethane,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.3062770295949915,0.1456794231012819
